product_id,group_id,group_name,img_path,product_title,product_description,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10
11,1,Ventilatör Ürünleri,../urun-resimleri/ventilator-1.png,Ventilator Cihazı, Ventilatör cihazı, yüksek performanslı, tıbbi ortamlar için tasarlanmış, solunum desteği sağlayan medikal cihaz., "Yüksek performanslı ventilasyon", "Bütün tıbbi cihaz güvenlik sertifikalarına sahip", "Hastanelerde ve kliniklerde kullanılabilir", "", "", "", "", ""
12,1,Ventilatör Ürünleri,../urun-resimleri/flowsensorler.png,Flow Sensörler, Ventilatör cihazlarına uygun flow sensörleri, hava akışı ölçümünü sağlayarak ventilatörlerin doğru çalışmasını destekler., "Yüksek hassasiyetli ölçüm", "Tüm ventilatör cihazlarına uyumlu", "Uzun ömürlü ve dayanıklı", "", "", "", "", ""
13,1,Ventilatör Ürünleri,../urun-resimleri/oksijensensorler.png,Oksijen Sensörler, Oksijen sensörleri, ventilatörlerde oksijen seviyelerini ölçen, doğru oksijen akışını sağlayan sensörler., "Yüksek hassasiyetli oksijen ölçümü", "Solunum cihazlarına uyumlu", "Kolay kurulum ve uzun ömür", "", "", "", "", ""
14,1,Ventilatör Ürünleri,../urun-resimleri/testbalonlari.png,Test Balonları, Ventilatör test balonları, ventilatörlerin düzgün çalışıp çalışmadığını test etmek için kullanılan balonlar., "Yüksek kaliteli test ekipmanları", "Kullanımı kolay", "Güvenli ve dayanıklı", "", "", "", "", ""
15,1,Ventilatör Ürünleri,../urun-resimleri/solunumdevreleri.png,Solunum Devreleri, Solunum devreleri, ventilatör cihazları ile hasta arasında hava iletimi sağlayan medikal ekipman., "Ergonomik tasarım", "Hızlı montaj", "Tıbbi sertifikaya sahip", "", "", "", "", ""
21,2,EKG Ürünleri,../urun-resimleri/elektrokoter.png,Elektrokoter,,5" LCD Dokunmatik Ekran,Prem Nötr Plak kontrol özelliği,Endo cut modu,Sprey koagulasyon modu,Bipolar cut&coag modu,Ayak pedal kontrolü,Akıllı cerrahi asistan,Işıklı soket göstergesi,Cerrahi Uygulama kılavuzu
22,2,EKG Ürünleri,../urun-resimleri/monopolarkalem.png,Disposable Monopolar Kalem, Tek kullanımlık monopolar elektrot kalemi, yüksek kaliteli ve hijyenik kullanım, "Tek kullanımlık", "Yüksek iletkenlik", "Kolay kullanım", "Her türlü EKG cihazıyla uyumlu", "", "", "", "", ""
23,2,EKG Ürünleri,../urun-resimleri/koterkalemi.png,Yeniden kullanılabilir Koter Kalemi, Yüksek kaliteli ve uzun ömürlü, yeniden kullanılabilir koter kalemi, "Yeniden kullanılabilir", "Yüksek sıcaklık dayanımı", "Sağlam yapısı", "Kolay temizlenebilir", "", "", "", "", ""
24,2,EKG Ürünleri,../urun-resimleri/notrplak.png,Yeniden kullanılabilir ve Disposable Nötr Plak, EKG cihazları için nötr plaklar, tek kullanımlık ve yeniden kullanılabilir seçenekler, "Tek kullanımlık", "Yeniden kullanılabilir", "Ergonomik tasarım", "Yüksek elektrot iletkenliği", "", "", "", "", ""
25,2,EKG Ürünleri,../urun-resimleri/notrplak2.png,Yeniden kullanılabilir Nötr Plak, Uzun ömürlü, yeniden kullanılabilir nötr plak, "Yeniden kullanılabilir", "Yüksek iletkenlik", "Kolay montaj", "Dayanıklı malzeme", "", "", "", "", ""
26,2,EKG Ürünleri,../urun-resimleri/loopelektrod.png,Loop Elektrodları, EKG cihazlarında kullanıma uygun loop elektrotları, "Yüksek kaliteli iletken malzeme", "Esnek yapı", "Hassas ölçümler", "Uzun ömürlü", "", "", "", "", ""
